Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2019,133,7OT,1101,156
2019,133,7OT,1102,205
2019,133,7OT,1103,82
2019,133,7OT,1104,40
2019,133,7OT,1105,346
2019,133,7OT,1106,313
2019,133,7OT,1107,264
2019,133,7OT,1108,349
2019,133,7OT,1110,167
2019,133,7OT,1111,219
2019,133,7OT,1112,105
2019,133,7OT,1113,69
2019,133,7OT,1114,254
2019,133,7OT,1115,336
2019,133,7OT,1116,115
2019,133,7OT,1117,245
2019,133,7OT,1119,194
2019,133,7OT,1120,25
2019,133,7OT,1122,124
2019,133,7OT,1123,174
2019,133,7OT,1124,78
2019,133,7OT,1125,53
2019,133,7OT,1126,302
2019,133,7OT,1127,304
2019,133,7OT,1129,97
2019,133,7OT,1130,137
2019,133,7OT,1131,238
2019,133,7OT,1132,107
2019,133,7OT,1133,207
2019,133,7OT,1135,111
2019,133,7OT,1136,312
2019,133,7OT,1137,151
2019,133,7OT,1138,15
2019,133,7OT,1139,50
2019,133,7OT,1140,63
2019,133,7OT,1141,122
2019,133,7OT,1142,345
2019,133,7OT,1143,216
2019,133,7OT,1144,206
2019,133,7OT,1145,211
2019,133,7OT,1146,324
2019,133,7OT,1148,314
2019,133,7OT,1150,328
2019,133,7OT,1151,242
2019,133,7OT,1152,344
2019,133,7OT,1153,22
2019,133,7OT,1154,272
2019,133,7OT,1155,29
2019,133,7OT,1156,286
2019,133,7OT,1157,140
2019,133,7OT,1158,98
2019,133,7OT,1159,103
2019,133,7OT,1160,77
2019,133,7OT,1161,158
2019,133,7OT,1162,251
2019,133,7OT,1163,104
2019,133,7OT,1164,335
2019,133,7OT,1165,243
2019,133,7OT,1166,30
2019,133,7OT,1167,222
2019,133,7OT,1168,215
2019,133,7OT,1169,235
2019,133,7OT,1170,259
2019,133,7OT,1171,169
2019,133,7OT,1172,71
2019,133,7OT,1173,41
2019,133,7OT,1174,244
2019,133,7OT,1175,352
2019,133,7OT,1176,282
2019,133,7OT,1177,147
2019,133,7OT,1178,232
2019,133,7OT,1179,68
2019,133,7OT,1180,273
2019,133,7OT,1181,2
2019,133,7OT,1182,202
2019,133,7OT,1183,306
2019,133,7OT,1184,246
2019,133,7OT,1185,160
2019,133,7OT,1186,192
2019,133,7OT,1187,266
2019,133,7OT,1188,325
2019,133,7OT,1189,271
2019,133,7OT,1190,94
2019,133,7OT,1191,293
2019,133,7OT,1192,226
2019,133,7OT,1193,274
2019,133,7OT,1194,196
2019,133,7OT,1195,241
2019,133,7OT,1196,44
2019,133,7OT,1197,331
2019,133,7OT,1198,260
2019,133,7OT,1199,23
2019,133,7OT,1200,248
2019,133,7OT,1201,80
2019,133,7OT,1202,64
2019,133,7OT,1203,214
2019,133,7OT,1204,61
2019,133,7OT,1205,210
2019,133,7OT,1206,119
2019,133,7OT,1207,106
2019,133,7OT,1208,149
2019,133,7OT,1209,58
2019,133,7OT,1210,148
2019,133,7OT,1211,3
2019,133,7OT,1212,307
2019,133,7OT,1213,100
2019,133,7OT,1214,204
2019,133,7OT,1216,176
2019,133,7OT,1217,65
2019,133,7OT,1218,225
2019,133,7OT,1219,268
2019,133,7OT,1220,75
2019,133,7OT,1221,184
2019,133,7OT,1222,6
2019,133,7OT,1223,281
2019,133,7OT,1224,319
2019,133,7OT,1225,333
2019,133,7OT,1226,284
2019,133,7OT,1227,213
2019,133,7OT,1228,144
2019,133,7OT,1229,195
2019,133,7OT,1230,329
2019,133,7OT,1231,133
2019,133,7OT,1232,230
2019,133,7OT,1233,212
2019,133,7OT,1234,79
2019,133,7OT,1235,32
2019,133,7OT,1236,163
2019,133,7OT,1237,240
2019,133,7OT,1238,327
2019,133,7OT,1239,323
2019,133,7OT,1240,181
2019,133,7OT,1241,295
2019,133,7OT,1242,7
2019,133,7OT,1243,33
2019,133,7OT,1244,340
2019,133,7OT,1245,127
2019,133,7OT,1246,9
2019,133,7OT,1247,199
2019,133,7OT,1248,265
2019,133,7OT,1249,223
2019,133,7OT,1250,162
2019,133,7OT,1251,116
2019,133,7OT,1252,55
2019,133,7OT,1253,258
2019,133,7OT,1254,249
2019,133,7OT,1255,310
2019,133,7OT,1256,110
